ID,Ticker,Sell_After,Price,Volatility,Vol_Coeff,Drift,Objective_Value
153,VZ,4,126.5,0.00010436651220399196,1.0,0.01730978885258661,4.204602585126882
1,ORCL,2,126.71,0.0007371693308633762,1.0,0.03232560799688478,4.128801775525391
3,ORCL,4,126.71,0.0007371693308633762,1.0,0.03232560799688478,4.128801775525391
44,CVX,5,188.05,0.0002054980964363047,1.0,0.017571020792893053,4.0016376839680134
132,INTC,3,169.3125,0.0004660646891467672,1.0,0.02931292830868204,3.056383151589653
27,ABBV,3,174.96,0.0006789097973845323,1.0,0.01680794463722484,2.990171884869813
12,KO,3,298.5,0.00017573234988415185,1.0,0.017945473845996332,1.781850006762313
11,KO,2,298.5,0.00017573234988415185,1.0,0.017945473845996332,1.781850006762313
13,KO,4,298.5,0.00017573234988415185,1.0,0.017945473845996332,1.752631400257362
212,CRM,3,309.96,0.0010399557671811061,1.0,0.028701101192629783,1.6695182357514622
