m_time,identifier,ticker,sell_after,price,volatility,volatility_coef,drift,quantity
4,30,TMO,4,667.24,0.02405277660621798,1.0,0.0004716388856675717,6.0
4,40,COST,5,681.24,0.022439877881784823,1.0,0.0006959696784272048,5.5
4,36,INTU,4,694.66,0.031201892280181116,1.0,0.0009136809676090733,4.5
4,11,AAPL,5,702.1,0.03104427479945671,1.0,0.0007754444901392683,3.0
2,50,TSLA,3,2238.75,0.039876781634850623,1.0,0.0016655902789114662,2.5
2,49,AVGO,2,1147.0,0.022185340937738766,1.0,0.0014151757552584394,2.5
2,39,NVDA,2,827.94,0.04103563822223924,1.0,0.0014542558314932863,2.5
2,39,NVDA,3,827.94,0.04103563822223924,1.0,0.0014542558314932863,2.5
2,41,NFLX,2,707.61,0.03794475173585578,1.0,0.0014923875645576595,2.5
2,36,INTU,2,694.66,0.031201892280181116,1.0,0.0009136809676090733,2.5
