ID,ticker,sell_after,Price,Volatility,Vol_Coeff,Drift,Objective_Value
999,TSLA,20,2238.75,0.0016655902789114662,1.0,0.039876781634850623,13.487228476948887
820,CMCSA,1,76.595,0.0003188665613094927,1.0,0.019877072315307758,4.460729724186551
540,BAC,1,124.0,0.0003248046844754001,1.0,0.02502772941502002,2.7553999453553946
0,ORCL,1,126.71,0.0007371693308633762,1.0,0.03232560799688478,2.6964690491995023
61,XOM,2,168.5,0.000198962096475202,1.0,0.017016504122147384,2.027712719430676
100,ABBV,1,174.96,0.0006789097973845323,1.0,0.01680794463722484,1.952844039918089
997,TSLA,18,2238.75,0.0016655902789114662,1.0,0.039876781634850623,1.4560360383436426
360,DIS,1,244.0,0.00045142587448338467,1.0,0.023370070531348017,1.40028521813143
40,KO,1,298.5,0.00017573234988415185,1.0,0.017945473845996332,1.144621752844452
841,CRM,2,309.96,0.0010399557671811061,1.0,0.028701101192629783,1.0111604825324925
