m_time,identifier,ticker,sell_after,price,volatility,volatility_coef,drift,quantity
5,1,ORCL,1,126.71,0.03232560799688478,1.0,0.0007371693308633762,0.3472222222222222
5,1,ORCL,2,126.71,0.03232560799688478,1.0,0.0007371693308633762,0.3472222222222222
5,1,ORCL,4,126.71,0.03232560799688478,1.0,0.0007371693308633762,0.3472222222222222
5,1,ORCL,5,126.71,0.03232560799688478,1.0,0.0007371693308633762,0.3472222222222222
5,2,MSFT,2,382.7,0.02543920418516542,1.0,0.000646651994771599,0.3472222222222222
5,2,MSFT,3,382.7,0.02543920418516542,1.0,0.000646651994771599,0.3472222222222222
5,2,MSFT,4,382.7,0.02543920418516542,1.0,0.000646651994771599,0.3472222222222222
5,2,MSFT,5,382.7,0.02543920418516542,1.0,0.000646651994771599,0.3472222222222222
5,3,KO,1,298.5,0.017945473845996332,1.0,0.00017573234988415185,0.3472222222222222
5,3,KO,3,298.5,0.017945473845996332,1.0,0.00017573234988415185,0.3472222222222222
5,4,XOM,1,168.5,0.017016504122147384,1.0,0.000198962096475202,0.3472222222222222
5,4,XOM,2,168.5,0.017016504122147384,1.0,0.000198962096475202,0.3472222222222222
5,4,XOM,4,168.5,0.017016504122147384,1.0,0.000198962096475202,0.3472222222222222
5,4,XOM,5,168.5,0.017016504122147384,1.0,0.000198962096475202,0.3472222222222222
5,5,META,4,382.18,0.02528046067619272,1.0,0.0010818737313607978,0.3472222222222222
5,6,ABBV,2,174.96,0.01680794463722484,1.0,0.0006789097973845323,0.3472222222222222
5,6,ABBV,3,174.96,0.01680794463722484,1.0,0.0006789097973845323,0.3472222222222222
5,6,ABBV,4,174.96,0.01680794463722484,1.0,0.0006789097973845323,0.3472222222222222
5,6,ABBV,5,174.96,0.01680794463722484,1.0,0.0006789097973845323,0.3472222222222222
5,7,PEP,4,196.12,0.028769429044756857,1.0,0.0005555883647352249,0.3472222222222222
5,8,AMGN,1,292.39,0.026461674260429988,1.0,0.0006709522272626046,0.3472222222222222
5,8,AMGN,2,292.39,0.026461674260429988,1.0,0.0006709522272626046,0.3472222222222222
5,8,AMGN,3,292.39,0.026461674260429988,1.0,0.0006709522272626046,0.3472222222222222
5,8,AMGN,4,292.39,0.026461674260429988,1.0,0.0006709522272626046,0.3472222222222222
5,9,CVX,1,188.05,0.017571020792893053,1.0,0.0002054980964363047,0.3472222222222222
5,9,CVX,2,188.05,0.017571020792893053,1.0,0.0002054980964363047,0.3472222222222222
5,9,CVX,4,188.05,0.017571020792893053,1.0,0.0002054980964363047,0.3472222222222222
5,9,CVX,5,188.05,0.017571020792893053,1.0,0.0002054980964363047,0.3472222222222222
5,10,GOOG,1,3014.1799,0.026125635586919622,1.0,0.0004307486864829829,0.3472222222222222
5,10,GOOG,2,3014.1799,0.026125635586919622,1.0,0.0004307486864829829,0.3472222222222222
5,10,GOOG,5,3014.1799,0.026125635586919622,1.0,0.0004307486864829829,0.3472222222222222
5,11,AAPL,3,702.1,0.03104427479945671,1.0,0.0007754444901392683,0.3472222222222222
5,11,AAPL,5,702.1,0.03104427479945671,1.0,0.0007754444901392683,0.3472222222222222
5,12,TXN,2,254.625,0.044462844383564425,1.0,0.0010841439368727726,0.3472222222222222
5,12,TXN,3,254.625,0.044462844383564425,1.0,0.0010841439368727726,0.3472222222222222
5,12,TXN,5,254.625,0.044462844383564425,1.0,0.0010841439368727726,0.3472222222222222
5,13,PG,3,164.21,0.016526932551944148,1.0,0.00017773866715979883,0.3472222222222222
5,13,PG,4,164.21,0.016526932551944148,1.0,0.00017773866715979883,0.3472222222222222
5,13,PG,5,164.21,0.016526932551944148,1.0,0.00017773866715979883,0.3472222222222222
5,14,BA,1,440.62,0.024561006124369848,1.0,0.0004605200427116954,0.3472222222222222
5,14,BA,2,440.62,0.024561006124369848,1.0,0.0004605200427116954,0.3472222222222222
5,14,BA,3,440.62,0.024561006124369848,1.0,0.0004605200427116954,0.3472222222222222
5,15,ABT,1,141.46,0.018917985499992834,1.0,0.0002498890784599357,0.3472222222222222
5,15,ABT,2,141.46,0.018917985499992834,1.0,0.0002498890784599357,0.3472222222222222
5,15,ABT,4,141.46,0.018917985499992834,1.0,0.0002498890784599357,0.3472222222222222
5,16,PFE,2,150.125,0.021173678939203713,1.0,0.00026282660779542745,0.3472222222222222
5,16,PFE,3,150.125,0.021173678939203713,1.0,0.00026282660779542745,0.3472222222222222
5,17,JNJ,2,246.0,0.019007263632570597,1.0,0.00031004352395213995,0.3472222222222222
5,17,JNJ,3,246.0,0.019007263632570597,1.0,0.00031004352395213995,0.3472222222222222
5,18,MRK,1,217.5,0.01965266071846996,1.0,0.0002692233654270914,0.3472222222222222
5,18,MRK,5,217.5,0.01965266071846996,1.0,0.0002692233654270914,0.3472222222222222
5,19,DIS,1,244.0,0.023370070531348017,1.0,0.00045142587448338467,0.3472222222222222
5,19,DIS,2,244.0,0.023370070531348017,1.0,0.00045142587448338467,0.3472222222222222
5,19,DIS,4,244.0,0.023370070531348017,1.0,0.00045142587448338467,0.3472222222222222
5,19,DIS,5,244.0,0.023370070531348017,1.0,0.00045142587448338467,0.3472222222222222
5,20,WFC,2,75.0,0.022249634785200038,1.0,0.00028195829477257794,0.3472222222222222
5,20,WFC,3,75.0,0.022249634785200038,1.0,0.00028195829477257794,0.3472222222222222
5,21,MCD,3,298.41,0.021211371853429514,1.0,0.00041082343891020624,0.3472222222222222
5,21,MCD,4,298.41,0.021211371853429514,1.0,0.00041082343891020624,0.3472222222222222
5,21,MCD,5,298.41,0.021211371853429514,1.0,0.00041082343891020624,0.3472222222222222
5,22,JPM,1,171.78,0.02207990317599526,1.0,0.0003223159987838102,0.3472222222222222
5,22,JPM,2,171.78,0.02207990317599526,1.0,0.0003223159987838102,0.3472222222222222
5,22,JPM,3,171.78,0.02207990317599526,1.0,0.0003223159987838102,0.3472222222222222
5,22,JPM,4,171.78,0.02207990317599526,1.0,0.0003223159987838102,0.3472222222222222
5,22,JPM,5,171.78,0.02207990317599526,1.0,0.0003223159987838102,0.3472222222222222
5,23,DHR,1,332.43,0.030374542709668124,1.0,0.0006327902585084059,0.3472222222222222
5,23,DHR,2,332.43,0.030374542709668124,1.0,0.0006327902585084059,0.3472222222222222
5,23,DHR,3,332.43,0.030374542709668124,1.0,0.0006327902585084059,0.3472222222222222
5,23,DHR,5,332.43,0.030374542709668124,1.0,0.0006327902585084059,0.3472222222222222
5,24,LLY,1,619.13,0.019441205069222034,1.0,0.0003580464873725691,0.3472222222222222
5,24,LLY,2,619.13,0.019441205069222034,1.0,0.0003580464873725691,0.3472222222222222
5,24,LLY,5,619.13,0.019441205069222034,1.0,0.0003580464873725691,0.3472222222222222
5,25,J,2,148.45,0.026970346421988867,1.0,0.0005384516376586715,0.3472222222222222
5,25,J,4,148.45,0.026970346421988867,1.0,0.0005384516376586715,0.3472222222222222
5,25,J,5,148.45,0.026970346421988867,1.0,0.0005384516376586715,0.3472222222222222
5,26,WMT,5,169.78,0.022520679410098644,1.0,0.000412882914648631,0.3472222222222222
5,27,INTC,5,169.3125,0.02931292830868204,1.0,0.0004660646891467672,0.3472222222222222
5,28,BAC,1,124.0,0.02502772941502002,1.0,0.0003248046844754001,0.3472222222222222
5,28,BAC,2,124.0,0.02502772941502002,1.0,0.0003248046844754001,0.3472222222222222
5,28,BAC,3,124.0,0.02502772941502002,1.0,0.0003248046844754001,0.3472222222222222
5,28,BAC,5,124.0,0.02502772941502002,1.0,0.0003248046844754001,0.3472222222222222
5,29,AMD,1,161.91,0.03966445958769901,1.0,0.0009962143399985263,0.3472222222222222
5,29,AMD,2,161.91,0.03966445958769901,1.0,0.0009962143399985263,0.3472222222222222
5,29,AMD,3,161.91,0.03966445958769901,1.0,0.0009962143399985263,0.3472222222222222
5,29,AMD,4,161.91,0.03966445958769901,1.0,0.0009962143399985263,0.3472222222222222
5,30,TMO,5,667.24,0.02405277660621798,1.0,0.0004716388856675717,0.3472222222222222
5,31,VZ,4,126.5,0.01730978885258661,1.0,0.00010436651220399196,0.3472222222222222
5,32,HD,1,416.18,0.024709424721938923,1.0,0.0006495089124288296,0.3472222222222222
5,33,ADBE,1,688.37,0.03300034509871218,1.0,0.0009849556228086755,0.3472222222222222
5,33,ADBE,2,688.37,0.03300034509871218,1.0,0.0009849556228086755,0.3472222222222222
5,33,ADBE,4,688.37,0.03300034509871218,1.0,0.0009849556228086755,0.3472222222222222
5,33,ADBE,5,688.37,0.03300034509871218,1.0,0.0009849556228086755,0.3472222222222222
5,34,CSCO,1,144.375,0.029278654279754096,1.0,0.0005824875123929375,0.3472222222222222
5,34,CSCO,2,144.375,0.029278654279754096,1.0,0.0005824875123929375,0.3472222222222222
5,34,CSCO,3,144.375,0.029278654279754096,1.0,0.0005824875123929375,0.3472222222222222
5,34,CSCO,4,144.375,0.029278654279754096,1.0,0.0005824875123929375,0.3472222222222222
5,34,CSCO,5,144.375,0.029278654279754096,1.0,0.0005824875123929375,0.3472222222222222
5,35,QCOM,3,659.0,0.03317739408394967,1.0,0.0008642949108518504,0.3472222222222222
5,35,QCOM,4,659.0,0.03317739408394967,1.0,0.0008642949108518504,0.3472222222222222
5,35,QCOM,5,659.0,0.03317739408394967,1.0,0.0008642949108518504,0.3472222222222222
5,36,INTU,1,694.66,0.031201892280181116,1.0,0.0009136809676090733,0.3472222222222222
5,36,INTU,4,694.66,0.031201892280181116,1.0,0.0009136809676090733,0.3472222222222222
5,36,INTU,5,694.66,0.031201892280181116,1.0,0.0009136809676090733,0.3472222222222222
5,37,BRK,2,4985.0,0.018440105560869034,1.0,0.000346021478803193,0.3472222222222222
5,37,BRK,4,4985.0,0.018440105560869034,1.0,0.000346021478803193,0.3472222222222222
5,37,BRK,5,4985.0,0.018440105560869034,1.0,0.000346021478803193,0.3472222222222222
5,38,AMZN,2,3731.4099,0.03933418217012099,1.0,0.0013226727898135989,0.3472222222222222
5,38,AMZN,3,3731.4099,0.03933418217012099,1.0,0.0013226727898135989,0.3472222222222222
5,38,AMZN,4,3731.4099,0.03933418217012099,1.0,0.0013226727898135989,0.3472222222222222
5,39,NVDA,2,827.94,0.04103563822223924,1.0,0.0014542558314932863,0.3472222222222222
5,39,NVDA,3,827.94,0.04103563822223924,1.0,0.0014542558314932863,0.3472222222222222
5,40,COST,3,681.24,0.022439877881784823,1.0,0.0006959696784272048,0.3472222222222222
5,40,COST,4,681.24,0.022439877881784823,1.0,0.0006959696784272048,0.3472222222222222
5,41,NFLX,1,707.61,0.03794475173585578,1.0,0.0014923875645576595,0.3472222222222222
5,41,NFLX,3,707.61,0.03794475173585578,1.0,0.0014923875645576595,0.3472222222222222
5,41,NFLX,4,707.61,0.03794475173585578,1.0,0.0014923875645576595,0.3472222222222222
5,42,CMCSA,3,76.595,0.019877072315307758,1.0,0.0003188665613094927,0.3472222222222222
5,42,CMCSA,4,76.595,0.019877072315307758,1.0,0.0003188665613094927,0.3472222222222222
5,42,CMCSA,5,76.595,0.019877072315307758,1.0,0.0003188665613094927,0.3472222222222222
5,43,CRM,2,309.96,0.028701101192629783,1.0,0.0010399557671811061,0.3472222222222222
5,43,CRM,3,309.96,0.028701101192629783,1.0,0.0010399557671811061,0.3472222222222222
5,43,CRM,4,309.96,0.028701101192629783,1.0,0.0010399557671811061,0.3472222222222222
5,44,GOOGL,2,2996.77,0.024718185961058,1.0,0.0007174709742381507,0.3472222222222222
5,44,GOOGL,3,2996.77,0.024718185961058,1.0,0.0007174709742381507,0.3472222222222222
5,45,MA,1,843.6,0.025121619484304122,1.0,0.0010387881893002197,0.3472222222222222
5,45,MA,2,843.6,0.025121619484304122,1.0,0.0010387881893002197,0.3472222222222222
5,45,MA,3,843.6,0.025121619484304122,1.0,0.0010387881893002197,0.3472222222222222
5,46,TMUS,1,160.44,0.026837089295438897,1.0,0.0007830329477854212,0.3472222222222222
5,46,TMUS,2,160.44,0.026837089295438897,1.0,0.0007830329477854212,0.3472222222222222
5,46,TMUS,3,160.44,0.026837089295438897,1.0,0.0007830329477854212,0.3472222222222222
5,46,TMUS,4,160.44,0.026837089295438897,1.0,0.0007830329477854212,0.3472222222222222
5,46,TMUS,5,160.44,0.026837089295438897,1.0,0.0007830329477854212,0.3472222222222222
5,47,V,1,278.29,0.022041877004529652,1.0,0.0007166401984765148,0.3472222222222222
5,47,V,5,278.29,0.022041877004529652,1.0,0.0007166401984765148,0.3472222222222222
5,48,UNH,1,555.15,0.027471078622999523,1.0,0.0008920157706818069,0.3472222222222222
5,48,UNH,2,555.15,0.027471078622999523,1.0,0.0008920157706818069,0.3472222222222222
5,48,UNH,3,555.15,0.027471078622999523,1.0,0.0008920157706818069,0.3472222222222222
5,48,UNH,4,555.15,0.027471078622999523,1.0,0.0008920157706818069,0.3472222222222222
5,48,UNH,5,555.15,0.027471078622999523,1.0,0.0008920157706818069,0.3472222222222222
5,49,AVGO,2,1147.0,0.022185340937738766,1.0,0.0014151757552584394,0.3472222222222222
5,49,AVGO,5,1147.0,0.022185340937738766,1.0,0.0014151757552584394,0.3472222222222222
5,50,TSLA,2,2238.75,0.039876781634850623,1.0,0.0016655902789114662,0.3472222222222222
5,50,TSLA,3,2238.75,0.039876781634850623,1.0,0.0016655902789114662,0.3472222222222222
5,50,TSLA,4,2238.75,0.039876781634850623,1.0,0.0016655902789114662,0.3472222222222222
