ID,Ticker,Sell_After,Price,Volatility,Vol_Coeff,Drift,Objective_Value
119,TXN,10,254.625,0.0010841439368727726,1.0,0.044462844383564425,31.181688011547354
289,AMD,10,161.91,0.0009962143399985263,1.0,0.03966445958769901,0.3019244920018202
118,TXN,9,254.625,0.0010841439368727726,1.0,0.044462844383564425,0.20381027095409968
288,AMD,9,161.91,0.0009962143399985263,1.0,0.03966445958769901,0.16891401189385152
9,ORCL,10,126.71,0.0007371693308633762,1.0,0.03232560799688478,0.15856396812375134
199,WFC,10,75.0,0.00028195829477257794,1.0,0.022249634785200038,0.15438229093009975
198,WFC,9,75.0,0.00028195829477257794,1.0,0.022249634785200038,0.14192063805966854
419,CMCSA,10,76.595,0.0003188665613094927,1.0,0.019877072315307758,0.13821903714278025
197,WFC,8,75.0,0.00028195829477257794,1.0,0.022249634785200038,0.13154023879966453
418,CMCSA,9,76.595,0.0003188665613094927,1.0,0.019877072315307758,0.1291688429526393
