limiar, tempo
rodada [-100, -50, 0, 50, 100, 150, 200, 250, 300, 350, 400, 450, 500, 550, 600]
-100,92.61699891090393
-50,93.69813203811646
0,93.40151810646057
50,92.67124557495117
100,93.22408843040466
150,93.0376648902893
200,93.24386191368103
250,90.79601693153381
300,91.68118572235107
350,87.09085130691528
400,87.04519367218018
450,92.21311688423157
500,141.97228693962097

[-200, -170, -150, -120, -100, -70, -50, 0, 50, 70, 100, 120, 150, 170, 200, 220, 250, 270, 300, 320, 350, 370, 400, 420, 450, 470, 500, 510, 520, 530, 540, 550, 600]
economia de bateria
-200,115.84224843978882
-170,119.85379648208618
-150,123.37921810150146
-120,124.1331160068512
-100,127.1085455417633
-70,120.28234195709229
-50,115.63178730010986
0,113.55708575248718


-200,92.66910648345947
-170,103.12549781799316
-150,101.02198791503906
-120,87.47931146621704
-100,87.41953349113464
-70,92.84586644172668
-50,100.7778217792511
0,100.5415894985199
50,89.25670313835144
70,89.34619450569153
100,88.92346239089966
120,88.69897365570068
150,88.97310328483582
170,91.37882113456726
200,90.45178890228271
220,97.87306499481201
250,93.13071393966675
270,95.59687328338623
300,92.22614908218384
320,91.5278332233429
350,92.63292407989502
370,93.77564001083374
400,91.19603991508484
420,92.95995712280273
450,90.77973127365112
470,90.57769584655762
500,165.58786964416504


498,89.6813292503357
499,89.22743010520935
500,202.41207313537598

Novo experimento

-200,47.26296138763428
-150,45.38269019126892
-100,43.982940435409546
-50,44.12535309791565
0,43.9673376083374
50,44.37780165672302
100,43.968005418777466
150,44.643452167510986
200,44.49345636367798
250,44.30330967903137
300,43.88809514045715
350,44.19776272773743
400,44.16650676727295
450,44.308109760284424
500,44.618183851242065
550,44.22447156906128
600,43.81312274932861
650,44.23866295814514
700,44.157944679260254
750,43.858744859695435
800,44.13067364692688
850,43.930859327316284
900,44.24904108047485
950,44.26161456108093
1000,76.95855665206909
1000,79.70238733291626
1000,77.0288655757904

1100
1000,46.09454941749573
1050,45.80747580528259
1100,46.49795866012573

1500
1000,42.361801862716675
1050,45.503241539001465
1100,43.0404531955719
1150,43.0314245223999
1200,43.2602379322052
1250,41.6534538269043
1300,40.311166763305664
1350,41.346338987350464
1400,44.73111963272095
1450,45.91136431694031
1500,64.16673421859741

0,34.548938274383545
1000,42.84744095802307
1050,46.44889855384827
1100,43.375662326812744
1150,43.315722703933716
1200,43.97246551513672
1250,43.16816806793213
1300,42.443814277648926
1350,42.41360116004944
1400,43.17962598800659
1450,45.585742473602295
1500,64.66975855827332


-100,84.6893081665039
-50,46.53885793685913
0,40.77849364280701
50,42.80028295516968
100,42.66791105270386
150,44.3039345741272
200,43.93134880065918
250,43.18255972862244
300,41.1949098110199
350,41.35637068748474
400,41.55089020729065
450,41.58712601661682
500,41.693360567092896
550,41.52578353881836
600,42.26483201980591
650,43.412190437316895
700,41.74398398399353
750,41.64232397079468
800,41.98738193511963
850,42.31726408004761
900,42.168575286865234
950,42.369476318359375
1000,41.462623834609985
1050,41.28942823410034
1100,70.34712171554565
1150,105.60217046737671
1200,104.36781811714172
1250,104.38987755775452
1300,104.49883580207825
1350,104.4329731464386
1400,101.00523686408997
1450,104.13814091682434
1500,158.44843173027039
1550,24.052878618240356
1600,24.54135298728943

Q1
-200,25.014753580093384
-150,25.848211526870728
-100,25.81949019432068
-50,25.612478971481323
0,25.47151279449463
50,26.40605926513672
100,25.88542604446411
150,25.534178733825684
200,25.786595106124878
250,26.119109869003296
300,25.198502779006958
350,25.594743251800537
400,25.595091581344604
450,25.869788885116577
500,25.698251485824585
550,25.560981273651123
600,24.9629168510437
-200,36.18883991241455
-150,36.609577655792236
-200,25.92121434211731
-150,25.218717575073242
-100,25.11414361000061
-50,24.867815732955933
0,25.262665033340454
50,25.027340412139893
-200,24.088966608047485
-150,24.274350881576538
-100,24.40484118461609
-50,25.17501974105835
0,26.701136112213135
50,25.77098250389099
